chain,name,address,district,lat,lng,source,source_id,source_url
Zebra Coffee,Zebra Coffee,"Деловой дом Алма-Ата | Амангельды Иманова улица, 19",Байконур,51.16459,71.44233,2GIS snapshot in repository,70000001106066559,https://2gis.kz/astana/firm/70000001106066559
Zebra Coffee,Zebra Coffee,"ЖК Park Avenue-1 | проспект Мангилик Ел, 39",Есильский,51.10267,71.42879,2GIS snapshot in repository,70000001039693059,https://2gis.kz/astana/firm/70000001039693059
Zebra Coffee,Zebra Coffee,"Кабанбай батыр проспект, 13",Нура,51.13792,71.41548,2GIS snapshot in repository,70000001060592523,https://2gis.kz/astana/firm/70000001060592523
Zebra Coffee,Zebra Coffee,"Проспект Абая, 42",Байконур,51.16924,71.43559,2GIS snapshot in repository,70000001104446204,https://2gis.kz/astana/firm/70000001104446204
Zebra Coffee,Zebra Coffee,"Проспект Женис, 63",Сарыарка,51.18361,71.40831,2GIS snapshot in repository,70000001103106363,https://2gis.kz/astana/firm/70000001103106363
Zebra Coffee,Zebra Coffee,"Проспект Мангилик Ел, 37",Есильский,51.10375,71.42871,2GIS snapshot in repository,70000001067951051,https://2gis.kz/astana/firm/70000001067951051
Zebra Coffee,Zebra Coffee,"Проспект Мангилик Ел, 55/1",Есильский,51.08743,71.41681,2GIS snapshot in repository,70000001047480144,https://2gis.kz/astana/firm/70000001047480144
Zebra Coffee,Zebra Coffee,"Проспект Мангилик Ел, 55/1",Есильский,51.08759,71.41465,2GIS snapshot in repository,70000001041959959,https://2gis.kz/astana/firm/70000001041959959
Zebra Coffee,Zebra Coffee,"Проспект Мангилик Ел, 56",Есильский,51.08853,71.42513,2GIS snapshot in repository,70000001050680764,https://2gis.kz/astana/firm/70000001050680764
Zebra Coffee,Zebra Coffee,"Проспект Ракымжан Кошкарбаев, 54/1",Сарайшык,51.12935,71.50141,2GIS snapshot in repository,70000001110002143,https://2gis.kz/astana/firm/70000001110002143
Zebra Coffee,Zebra Coffee,"Проспект Республики, 7",Сарыарка,51.16028,71.4283,2GIS snapshot in repository,70000001079664220,https://2gis.kz/astana/firm/70000001079664220
Zebra Coffee,Zebra Coffee,"Проспект Тауелсиздик, 34/5 киоск",Алматинский,51.14142,71.46557,2GIS snapshot in repository,70000001060684766,https://2gis.kz/astana/firm/70000001060684766
Zebra Coffee,Zebra Coffee,"Проспект Туран, 39а",Нура,51.12798,71.40418,2GIS snapshot in repository,70000001090887015,https://2gis.kz/astana/firm/70000001090887015
Zebra Coffee,Zebra Coffee,"Проспект Туран, 43/3",Нура,51.12517,71.39952,2GIS snapshot in repository,70000001089072457,https://2gis.kz/astana/firm/70000001089072457
Zebra Coffee,Zebra Coffee,"Проспект Улы Дала, 63",Есильский,51.09396,71.44101,2GIS snapshot in repository,70000001100877765,https://2gis.kz/astana/firm/70000001100877765
Zebra Coffee,Zebra Coffee,"Проспект Улы Дала, 71",Есильский,51.09347,71.44941,2GIS snapshot in repository,70000001066331460,https://2gis.kz/astana/firm/70000001066331460
Zebra Coffee,Zebra Coffee,"ТРЦ Asia park | Кабанбай батыр проспект, 21",Нура,51.12809,71.41108,2GIS snapshot in repository,70000001065290502,https://2gis.kz/astana/firm/70000001065290502
